x,y,z,g
3.62824738,-44.63816986,6.63544554,193
3.09939301,-41.62842712,6.23080439,189
2.84694397,-42.12194214,6.35672468,190
2.50860321,-41.29571686,6.27979368,190
2.21396362,-41.05526123,6.29220003,190
1.77837097,-40.72815094,6.31544775,190
1.69894897,-42.24984894,6.58128351,192
1.40617859,-42.3469101,6.64963621,193
0.81644165,-42.15962372,6.72448057,194
0.39042389,-42.99367676,6.93935102,195
0.24796021,-44.01262054,7.13373894,197
-0.04439056,-43.59812317,7.11820263,197
-0.53087891,-29.67956696,4.90383142,178
-0.72962463,-29.52707825,4.91505617,178
-0.94500244,-29.92885742,5.02114958,179
-1.16154755,-30.21856079,5.10903734,180
-1.26035583,-30.0021759,5.09152025,180
-1.46087921,-30.0105072,5.13006681,180
-1.54838837,-29.72669373,5.0993976,180
-1.78843201,-30.23542175,5.22820848,181
-3.14195478,-47.00522003,8.25319523,206
-3.27546156,-46.60415039,8.21190876,206
-3.40833557,-46.23028717,8.17504639,206
-3.53683699,-45.8325592,8.13346523,205
11.9040271,-56.5670186,9.28354115,215
10.51306641,-55.67244945,9.32735199,215
10.30911743,-55.63221202,9.35220284,216
10.15354645,-55.85515056,9.42197842,216
7.69439423,-46.90686951,8.02974552,205
7.36475861,-46.89737091,8.08202023,205
6.74204742,-43.90184174,7.58365292,201
6.61816227,-46.19182739,8.06403011,205
6.32792484,-46.47620544,8.16964191,206
6.01978886,-46.64924774,8.25613731,206
4.39928162,-41.95230255,7.58521408,201
4.29067719,-42.31063995,7.67599911,202
4.11771881,-43.57452545,7.96045631,204
3.47057831,-41.30335388,7.61426872,201
3.21347534,-41.65741882,7.73038239,202
3.05429565,-41.43979034,7.71422523,202
2.77628815,-41.52835236,7.78081078,202
2.89326202,-45.66606293,8.59561295,209
2.01020538,-47.05206451,9.03191608,213
1.82604706,-46.66072998,8.98575253,213
1.51971924,-47.10803375,9.13101429,214
1.34818756,-46.75805054,9.09112591,214
1.14703094,-45.39930878,8.85279984,212
0.51576721,-44.54528198,8.79461998,211
-0.2596463,-46.13082275,9.25708717,215
-0.7360257,-45.73970184,9.26605076,215
-1.20821655,-52.25419817,10.67044395,227
-1.37523163,-51.78502092,10.60675949,226
-1.52915466,-51.30439243,10.53839439,226
-1.70002258,-50.89260254,10.48717827,225
-2.01101196,-49.9279953,10.3506884,224
-2.17037476,-49.6406723,10.32267708,224
-2.33759535,-46.25865326,9.67112202,218
-2.48404158,-46.01778564,9.65025753,218
-2.63622559,-45.77586517,9.63033146,218
-2.89439619,-47.37307129,10.00203651,221
-3.03201569,-46.97421417,9.94779152,221
-3.16667402,-46.57116852,9.89220184,220
-3.29917372,-46.17564545,9.83777851,220
-3.42320526,-45.81596527,9.78901619,219
6.95423615,-45.39336548,9.52880711,217
6.86344635,-45.78921661,9.63762135,218
6.63533508,-46.54490051,9.85437721,220
6.41980564,-46.16191254,9.7985968,219
4.25716888,-42.24569855,9.22683472,215
3.86663544,-41.26320801,9.05903191,213
4.17904388,-46.3299881,10.21482033,223
3.66749298,-42.25737915,9.33050961,216
3.10163605,-44.60392151,9.98924202,221
2.98997223,-45.24632416,10.16231483,222
2.93710052,-46.90818176,10.56880707,226
2.28417694,-46.7732254,10.6521067,227
2.03605377,-44.98700104,10.26918739,223
1.68391907,-43.85785065,10.06219238,222
1.37791931,-43.9529892,10.14014191,222
1.27395355,-45.7029892,10.57769341,226
1.0881778,-44.49365387,10.32206863,224
0.94272339,-44.82164917,10.42708916,225
0.49722015,-45.84468994,10.75355858,227
4.13624298,-44.34308777,11.40992874,233
3.78157532,-43.78907928,11.31748718,232
3.07251465,-44.47523651,11.63033241,235
2.70760071,-43.53904877,11.43538612,233
1.6696521,-44.30093536,11.83209938,237
1.54249298,-45.07074127,12.06847519,239
8.04010498,-38.19327698,-0.70739379,131
7.87115967,-38.68269501,-0.66343608,131
6.48088657,-34.20923004,-0.50160998,133
8.11112701,-35.61069641,0.50553793,141
7.93291199,-35.38010559,0.5250749,141
7.45462524,-33.81050262,0.52206654,141
7.22406494,-33.84973297,0.56697792,142
6.88841736,-33.9534317,0.63510365,142
6.99320709,-35.7015625,0.71752686,143
5.93636906,-34.66051636,0.85150236,144
5.70297729,-34.73913727,0.89895004,145
5.47361481,-34.81130371,0.9451918,145
5.23961365,-34.85021362,0.99040407,145
4.97889435,-34.70942078,1.02994627,146
4.41540253,-35.01983795,1.1508798,147
4.8160907,-40.34578857,1.38611216,149
4.55445587,-40.42260895,1.43815845,149
0.55663025,-58.83868245,3.22268003,164
0.35497009,-58.24718699,3.22476954,164
-1.13202179,-53.85918627,3.2374515,164
-1.30183685,-53.33008013,3.23719973,164
-1.47037781,-52.88027391,3.24127859,164
-1.64164246,-52.30979357,3.23883814,164
-1.81395233,-51.91845951,3.24694723,164
-1.9711026,-51.41926012,3.24609846,164
-2.12401855,-50.89967499,3.24330324,164
-2.27820862,-50.48333893,3.24667639,164
-2.42670668,-50.03486023,3.24720282,164
-2.85989607,-48.71833191,3.24806017,164
-2.99947584,-48.29598389,3.24841303,164
-3.13779676,-47.89714966,3.24989027,164
-2.1008786,-30.84008179,2.08152169,154
-2.19093597,-30.63635406,2.08569306,154
-2.37619293,-30.35161743,2.10199422,155
-3.80153931,-45.9568573,3.25521082,164
13.22549927,-55.72297869,5.59584612,184
11.9792453,-58.4190276,6.07034582,188
10.48940002,-56.10845408,5.93551058,187
8.96715271,-55.23565111,5.98704332,187
6.97769653,-44.93782959,4.89125818,178
6.66368591,-45.03383026,4.93704409,178
7.75031006,-54.94743547,6.08063215,188
6.30070316,-45.85492859,5.0802564,180
5.56877625,-45.14081726,5.06799788,180
5.12571442,-44.089151,4.98191256,179
4.77081024,-43.62552795,4.9610948,179
4.52666199,-44.24683533,5.06638521,180
4.28423798,-46.55980835,5.3866176,182
3.40101349,-45.55075989,5.35360426,182
2.64465057,-41.0788208,4.86646456,178
2.87823212,-47.32538757,5.6356811,184
1.86307251,-50.55521545,6.15650171,189
1.2092334,-45.71579132,5.61180777,184
0.75097382,-46.89794312,5.81205076,186
-0.02487457,-31.42989502,3.92883295,170
-0.42711914,-29.4927002,3.72628206,168
-0.73420227,-29.7442337,3.79182619,169
-1.25687683,-30.02507935,3.88463587,170
-1.74637878,-29.57594452,3.88120264,170
-2.7409314,-30.37817535,4.09240717,171
12.7243396,-55.42283068,5.89119143,186
12.74201691,-58.22135386,6.25066465,190
11.64431488,-55.98002086,6.06731695,188
12.94315063,-56.97755656,7.85184998,203
7.37630951,-44.41436157,6.37203497,191
6.70448792,-44.13825378,6.39565844,191
6.31906712,-43.66207275,6.35776419,190
5.74042999,-45.12579498,6.65536589,193
5.21909821,-46.1102005,6.86965269,195
4.80716431,-43.82904968,6.54131407,192
4.34149658,-47.03875122,7.11261314,197
3.1462146,-42.03534088,6.42375082,191
2.80910217,-41.3253952,6.34381765,190
2.20921051,-40.85332642,6.33085054,190
-0.04769409,-43.40030823,6.99057335,196
-0.52993286,-45.67447815,7.41447205,199
-0.68134583,-45.37376556,7.38202709,199
-0.5603894,-30.97794495,5.02154154,179
-1.14012421,-29.48193512,4.84196657,178
-1.69008148,-30.18491516,5.01815313,179
-1.90598572,-30.32636414,5.06545729,180
-3.30703199,-46.81839142,7.91069645,203
-3.44163788,-46.46592865,7.86836857,203
-3.57011641,-46.05391846,7.81586689,203
14.0465213,-57.40751872,8.1065411,205
8.40899384,-46.50896606,8.2938599,207
7.93367493,-46.61028442,8.35949558,207
6.09209263,-46.40070496,8.49819607,208
5.51727783,-45.72552643,8.4214682,208
4.62680542,-42.06176147,7.78294128,202
4.31687653,-41.89087067,7.78051704,202
3.85405457,-41.66625366,7.78313679,202
3.55647003,-41.55257568,7.79114765,203
3.45159637,-42.02365265,7.8957991,203
1.60287964,-47.7911087,9.24010033,215
-0.85023773,-45.71791992,9.09624332,214
-1.15873993,-52.67729387,10.51802773,225
-1.33678711,-52.19055376,10.44103378,225
-1.50244415,-51.72343645,10.36651367,224
-1.4933194,-46.08009491,9.24095768,215
-1.9907254,-50.3027359,10.1388945,222
-2.14528168,-49.87697754,10.07156128,222
-2.29753387,-49.44276581,10.00251907,221
-2.44279707,-48.92989502,9.91706032,220
-2.59189833,-48.56950531,9.86227364,220
-2.56069458,-45.12620697,9.17289394,214
-3.02045668,-47.26191864,9.65142864,218
-3.1658119,-46.87579498,9.5913834,218
-3.29963911,-46.48625336,9.52927345,217
-3.4314369,-46.09225616,9.46627945,217
-3.56335676,-45.83942566,9.43134636,216
7.31656372,-45.67582855,9.90600723,220
7.12711823,-45.55109558,9.89441246,220
6.58680546,-46.2991272,10.12065262,222
6.26850712,-46.35080872,10.16315025,222
6.01392948,-45.65171967,10.02314323,221
5.32761871,-46.75797424,10.34990448,224
4.5680896,-42.73721466,9.47839684,217
4.14011108,-41.43601379,9.21448177,214
3.60038483,-41.92993317,9.38513512,216
3.39280426,-44.94093475,10.11608643,222
3.0335437,-46.70934448,10.57016129,226
2.45090973,-44.92762909,10.21080345,223
2.36983215,-46.53601227,10.59881157,226
2.16171753,-45.37560425,10.3470034,224
0.87728607,-31.77482758,-0.53503906,132
5.67412292,-29.53151855,-0.92319551,129
3.62387573,-43.71772156,11.41866249,233
1.65964233,-44.58175049,11.85871834,237
1.33515656,-44.33994446,11.82769722,237
7.34962189,-33.82512817,-0.17111021,135
7.13120758,-33.91361389,-0.14095646,136
6.90504181,-33.96732483,-0.11077076,136
6.56572544,-34.08246765,-0.06492382,136
6.54960453,-34.61533508,-0.05067783,137
10.50092041,-44.49482117,-0.07864713,136
7.75788605,-34.00024567,-0.0209046,137
7.5933963,-33.78156433,-0.00683933,137
6.68705475,-34.05480347,0.10768026,138
6.30470097,-41.53388367,1.59582609,150
5.93566715,-40.02869568,1.55323118,150
8.01448547,-58.07984385,2.33917684,157
7.59294617,-57.92127059,2.37913484,157
4.62193787,-42.06601105,1.82150907,152
4.18581879,-40.63242493,1.79019231,152
3.33401978,-46.26332245,2.20567769,156
3.1897403,-46.44497833,2.23211545,156
-1.61849487,-52.78293047,3.11541742,163
-1.9299649,-51.79531298,3.09270567,163
-2.09755219,-51.35584459,3.08582777,163
-2.24976624,-50.87271271,3.07457537,163
-2.40285719,-50.45276794,3.06710619,163
-2.55102766,-50.01264343,3.05778593,163
-3.12653578,-48.27500305,3.02004522,162
9.89223206,-58.21038649,4.1909656,172
8.56091797,-57.32290874,4.25865931,173
6.58804142,-47.65660248,3.59062189,167
6.39887058,-47.47980652,3.59552855,167
7.61693298,-57.93039916,4.4199962,174
6.09515202,-47.6659256,3.64648718,168
5.95138371,-47.8957077,3.68360704,168
3.76549255,-45.54430542,3.71021837,168
3.18169128,-46.21447144,3.83608526,169
2.77132141,-44.56891785,3.73031706,168
2.38818085,-46.25102386,3.92657846,170
-0.52253998,-31.48575745,2.89019174,161
-0.73556793,-31.45923767,2.9108674,161
-0.93393982,-30.99360046,2.88955468,161
-1.21043671,-29.95254669,2.82385129,161
-1.59833801,-29.53112946,2.82688302,161
-1.7911557,-29.41016541,2.83642453,161
-1.9912442,-29.40688477,2.85762662,161
-2.77099836,-30.18692932,3.0122394,162
-2.85119904,-29.89423523,2.99403376,162
-3.08231581,-30.10092316,3.03745646,162
10.48376953,-58.09524748,4.38286871,174
4.92085754,-47.00809631,5.47165865,183
3.97211182,-43.70520172,5.14107126,180
0.86790192,-46.71502838,5.84485907,186
0.05950653,-31.65342102,3.9831695,170
-2.44317902,-30.46907196,4.08914846,171
-2.7962364,-30.8716217,4.17795462,172
11.64259064,-54.49308214,4.67721075,176
11.31669342,-57.74053798,5.06676954,180
10.99210846,-58.20512602,5.15115446,180
9.93050873,-56.88839922,5.11617369,180
9.14581024,-56.96798167,5.20611376,181
6.82326233,-45.53390656,4.19106764,172
8.08045685,-56.34310374,5.248002,181
6.52002537,-46.84854279,4.36702436,174
6.20141422,-46.85659943,4.40104002,174
4.18549072,-44.36728058,4.33805269,173
4.22818481,-46.52414093,4.5708198,175
3.81799805,-43.59425507,4.29157347,173
3.56852448,-44.24295197,4.38916391,174
3.4057666,-46.07625732,4.60797209,176
3.50639069,-49.77350006,5.0041799,179
3.34812653,-49.98581848,5.04438013,179
2.43620026,-40.80285797,6.358262,190
1.41391479,-43.62635193,6.92687601,195
-0.41727722,-45.83882294,7.47991222,200
-0.4909848,-31.29208527,5.08804888,180
-3.58471144,-45.84389648,7.81577152,203
7.58097565,-45.14602814,5.66843981,185
7.37023651,-44.88916168,5.65190691,184
7.11041748,-44.26599274,5.58709425,184
6.93072235,-44.06765137,5.57601255,184
7.10931885,-46.16993103,5.86340422,186
6.44238865,-43.7588974,5.57950491,184
5.91236698,-43.42678223,5.58403296,184
5.04455292,-43.67526398,5.70727629,185
4.71124756,-46.37833557,6.13417429,189
4.78487122,-48.76691589,6.47416967,191
3.65338623,-45.06818542,6.05170244,188
3.02561676,-40.81569824,5.49728865,183
3.25327026,-46.04908142,6.23603529,189
3.51603424,-41.82909546,7.91169209,203
3.05470001,-43.42498169,8.27714867,207
2.65728485,-46.90409241,9.01563496,213
2.07270538,-48.68810425,9.43275684,216
1.8841983,-47.78148041,9.26936382,215
-1.04176605,-52.82735643,10.58723206,226
-1.53529633,-51.49880419,10.3725676,224
-1.70618713,-50.97586975,10.28576035,224
-2.32619703,-49.08962402,9.97331757,221
-2.90801466,-47.42798767,9.70278687,219
-3.04806793,-47.03904114,9.64001507,218
-3.18514479,-46.64586029,9.57611794,218
6.24736607,-43.50887451,7.11083263,197
4.92870056,-43.73697815,7.27950138,198
4.62569153,-43.83178864,7.32642788,199
4.32476532,-43.88456116,7.36577839,199
4.00652039,-42.1537796,7.08349937,197
3.92131531,-42.74901733,7.20003838,198
3.8949176,-44.13393555,7.45395798,200
4.2189151,-46.21891174,10.39981216,225
3.90205872,-46.20411835,10.42609161,225
3.29913055,-44.62924347,10.10936111,222
2.71568787,-45.1692215,10.29431099,224
7.28672516,-45.93389282,9.10937923,214
6.91420471,-46.76953278,9.32409615,215
6.34542667,-46.24565277,9.26234192,215
4.83348572,-42.76150665,8.6465258,210
4.49766266,-42.49572144,8.62081474,210
4.25860321,-43.00587616,8.75486607,211
4.15036499,-43.44584808,8.86116451,212
4.22083008,-45.85485992,9.37888283,216
3.20724213,-44.98105011,9.29026073,215
2.03783905,-31.94156799,-0.58866897,132
0.50218689,-29.3702179,-0.39289152,134
4.01308929,-43.82233582,11.46138138,233
7.38615906,-45.34868011,10.63476891,227
7.21394836,-45.23056946,10.61938995,226
6.62791168,-45.78637085,10.81071991,228
5.46858704,-45.37353668,10.80928177,228
4.95477783,-42.36856995,10.0923056,222
4.60923492,-42.00834045,10.03264183,221
4.00117218,-41.73895416,10.02125496,221
3.90396606,-42.18543396,10.14420074,222
3.54854309,-45.17000732,10.94007439,229
-1.05463684,-44.26392517,1.1143784,146
7.52633392,-36.15564117,-0.72603622,131
7.30682861,-36.30401764,-0.69784513,131
-3.26069105,-47.60171661,3.05846685,163
6.51973545,-34.0927063,0.5771026,142
5.6161319,-34.37526093,0.69274992,143
5.39893829,-34.43844757,0.7201199,143
5.16405212,-34.51072083,0.74984735,143
4.94364655,-34.64384613,0.78025621,143
0.77917206,-58.95915822,5.36739439,182
0.57992279,-58.37401412,5.33314032,182
-2.25201643,-30.04625092,2.97040171,162
-2.30218733,-29.39463959,2.91445512,161
-2.42033661,-29.59956512,2.94557566,162
7.92947113,-57.69758818,3.3832683,165
3.57783234,-45.74507294,2.96017927,162
3.45345795,-46.19375,3.00709528,162
3.1481601,-46.28122101,3.04652304,163
-0.51196564,-30.94976959,3.05725473,163
-0.71110046,-30.58030853,3.04647631,163
-0.82251251,-31.00960693,3.10436815,163
-1.6129483,-30.24742279,3.13279623,163
10.65845215,-58.09673915,5.13535494,180
10.44822418,-58.0590385,5.16578955,180
9.46143829,-57.0047401,5.20238108,181
4.12606537,-43.86107788,4.49160856,175
3.95167267,-43.5828186,4.48685259,175
4.00938904,-45.95886383,4.7654714,177
3.51054871,-43.72371826,4.57738871,175
3.2854892,-44.6167923,4.72327799,177
3.12185394,-44.44224701,4.72939962,177
3.16691315,-50.00766144,5.3972444,182
2.30291473,-43.18757782,4.71399397,177
1.91369354,-41.05204926,4.52000803,175
1.78889954,-41.21412811,4.56057447,175
1.50075256,-40.94145355,4.57580084,175
0.71624481,-58.76824794,6.87203402,195
0.33063232,-31.13370667,3.5819549,167
0.12197601,-31.12243042,3.61577028,167
-0.08682526,-31.14940033,3.65429205,168
-0.17431915,-29.50692139,3.46965784,166
-0.37673462,-30.06792603,3.57203287,167
-0.48089111,-30.23467407,3.60990137,167
-0.86477173,-29.59263,3.5970735,167
-0.95688141,-29.40465698,3.58988375,167
-1.19105042,-30.45133362,3.7567119,169
-1.4525174,-29.52642975,3.68893713,168
-0.26670349,-29.68914185,3.92325586,170
-0.75735748,-29.63874207,3.98195547,170
-1.26463593,-29.74130402,4.06430716,171
-1.60782135,-30.44366608,4.20638556,172
-1.69707001,-30.21051941,4.18680471,172
-2.4563855,-30.71747742,4.35977072,174
12.49665558,-55.66127977,6.54314703,192
11.99313843,-56.03661571,6.68156237,193
6.68745148,-44.30367432,5.69232935,185
6.03124821,-43.92802582,5.73884577,185
4.79616272,-43.5418869,5.87829584,186
4.78093445,-46.43634949,6.33559221,190
3.54796326,-44.89098511,6.29496569,190
3.64462769,-48.23085938,6.80440516,194
3.46369659,-48.00187836,6.79827303,194
2.9404422,-44.95889435,6.40608686,191
2.79974091,-45.16217194,6.46141333,191
2.39461243,-40.78999481,5.84064287,186
2.28666412,-43.99060211,6.36236757,190
2.01664459,-41.4294754,6.00422186,187
1.98445618,-43.91813049,6.40138144,191
1.62722504,-42.12803802,6.17933363,189
1.46864044,-41.65908203,6.13207525,189
1.32513153,-41.36340485,6.10963625,188
1.17860138,-41.12667236,6.09697813,188
0.90028107,-41.53696594,6.20848459,189
0.75528442,-41.27498779,6.19169039,189
0.47380554,-41.10532532,6.21255011,189
0.19543182,-41.34863434,6.29804605,190
-0.12347687,-29.97158203,4.56046003,175
-0.32613647,-30.05090485,4.60751528,176
-0.43311584,-30.36643372,4.67548269,176
-0.61370361,-29.42880402,4.55882067,175
-1.49453247,-29.40503845,4.70691484,177
0.19845306,-43.89925537,7.34265751,199
-0.12015045,-46.0520874,7.75591415,202
-0.28519714,-46.92256317,7.9279179,204
-0.54213989,-29.86651764,5.02600283,179
-0.73934448,-29.84139404,5.04851049,179
-1.13481415,-29.60566864,5.06206221,180
-2.45881165,-48.7791153,8.5442881,209
-2.75055159,-48.03354797,8.45658154,208
-3.0199231,-47.22032318,8.35439152,207
-3.15373505,-46.80510101,8.3017506,207
7.68080627,-46.91632996,7.62690109,201
6.65565216,-44.39530334,7.30054611,198
6.15041172,-46.30833588,7.74915737,202
3.85892975,-42.23208008,7.32797665,199
2.94948303,-41.50897369,7.3364901,199
2.35479462,-40.99684296,7.33540195,199
2.22483551,-41.1807724,7.3926186,199
2.06756317,-40.70017395,7.32563251,199
-0.02011383,-45.99904022,8.70660156,210
-0.32681549,-45.98722229,8.75710815,211
-0.49159515,-30.96985016,5.87253469,186
-0.69665802,-30.81312714,5.87774748,186
-1.44227875,-51.81996355,10.08194107,222
-2.0809201,-49.9833847,9.83766502,220
-2.37378204,-49.16166077,9.72999138,219
0.38620483,-44.35736237,8.97863335,212
-0.39325989,-45.88557587,9.4029364,216
-0.84632385,-45.64314423,9.41442818,216
-1.62762726,-45.48930511,9.49091286,217
-3.5129875,-45.54612885,9.77214664,219
7.008237,-46.02495728,9.22849411,215
6.62862885,-46.67402802,9.43561119,216
6.09978306,-46.46758423,9.46996635,217
6.50292027,-56.87880144,11.80097908,236
4.16695129,-42.99244843,8.97526402,212
2.84388458,-45.327005,9.72861427,219
2.38421356,-45.30449829,9.79958767,219
2.29874146,-46.76497803,10.15092796,222
1.91083252,-44.93009338,9.79227108,219
1.40690338,-43.52524719,9.55278343,217
0.37765228,-45.84765778,10.26513428,223
-1.51085938,-46.06308136,10.64628929,227
6.90353882,-45.62089691,10.82975525,228
6.63287842,-45.94633636,10.95716232,229
4.80524933,-42.48476563,10.312715,224
4.46327698,-42.02553711,10.24345345,223
3.3683139,-44.81492767,11.16613525,231
3.12364685,-43.53609619,10.86315483,228
2.82084381,-43.36902008,10.86806244,228
2.75260651,-44.70566711,11.23789543,231
2.53183472,-43.52484283,10.95764107,229
2.33199036,-45.36437378,11.48459,234
2.20350372,-45.79421387,11.62150902,235
1.84249603,-44.80811462,11.41751999,233
1.69415009,-44.96187744,11.48390526,234
1.51829254,-44.32229004,11.34212822,232
-0.93577087,-30.53473816,-0.06096941,136
7.64521515,-31.5733429,-0.9329621,129
7.59273254,-31.81327972,-0.9188644,129
7.54527008,-32.084375,-0.90525833,129
-0.6260022,-43.9166275,1.33712143,148
-0.93544281,-44.07714233,1.38221354,149
-1.08366669,-44.28868256,1.40779251,149
11.46373474,-47.9423233,0.33837646,140
10.22426331,-44.78654633,0.39930386,140
7.11643707,-33.8789917,0.3971991,140
4.02602875,-35.03556213,1.00269073,145
0.60007202,-59.10600499,2.79344338,160
0.38789093,-58.50252751,2.79888505,160
0.17905151,-58.06193755,2.81192369,161
-0.1520871,-48.802034,2.40380448,157
-1.25922668,-53.65323124,2.8318221,161
-1.75151337,-52.22258196,2.84206933,161
-1.1183728,-53.60119829,3.54614443,167
-1.2898053,-53.16033373,3.53995508,167
-1.45308197,-52.54740343,3.52150816,167
-1.61019409,-52.12568102,3.5147056,167
-1.76247681,-51.67582188,3.50537771,166
-1.91926849,-51.18116913,3.49374765,166
-2.07438934,-50.72592316,3.48445505,166
-2.22831238,-50.28994141,3.47631735,166
-2.37761915,-49.84178314,3.46671385,166
-2.52472151,-49.40914307,3.4578237,166
-2.66908491,-48.98008881,3.44880289,166
-2.81025208,-48.54664764,3.43907351,166
-2.95231092,-48.17254028,3.4333095,166
-3.09125746,-47.79009399,3.42659277,166
-2.11485565,-30.44901428,2.17179746,155
-2.2011441,-30.23349915,2.16904229,155
8.7726947,-58.0117552,3.38322157,165
7.85429108,-57.09573588,3.46025938,166
7.7423526,-57.72535536,3.53318495,167
3.51535522,-46.12465057,3.2538833,164
3.15195953,-45.3830658,3.25169558,164
2.89885437,-46.26306305,3.36977285,165
0.69315063,-58.97414989,4.82994265,178
0.48904144,-58.37118748,4.81263632,177
-1.16799438,-53.55460558,4.67860312,176
-1.33374298,-52.98174486,4.65735907,176
-1.49955261,-52.53582201,4.64699358,176
-1.02414215,-30.84159241,2.70936364,160
-1.2314328,-30.97758636,2.75573319,160
-1.258479,-29.49564514,2.63338059,159
-1.36780823,-29.70005188,2.66920728,159
-1.572276,-29.70556793,2.70396489,160
-1.69277466,-30.03984222,2.7527768,160
-1.88365448,-29.96058807,2.77790135,160
11.25555908,-57.54236064,5.27535147,181
6.43845188,-56.83307848,6.08757967,188
4.74172699,-44.37929688,4.7800979,177
4.70347321,-45.48708496,4.93207926,178
4.34200775,-46.52610931,5.13608927,180
3.49046051,-45.6739212,5.18557924,181
3.63622009,-49.94976196,5.71695131,185
3.09014618,-49.30510101,5.73609442,185
2.64840424,-50.31224976,5.95152563,187
0.75009644,-47.23114166,5.90921492,187
0.68021881,-58.44706187,7.38929314,199
0.27053558,-46.94884644,5.96363443,187
-1.14066589,-30.20849762,4.04373735,171
-2.37727631,-30.52263031,4.32159037,173
9.87818634,-53.4017354,6.90580839,195
10.12865936,-57.97159026,7.61994308,201
7.13981354,-45.26718292,6.05275434,188
6.40337955,-43.49035797,5.89211172,186
5.65075409,-43.37379608,6.01137728,188
4.93336975,-46.34515533,6.63971895,193
4.55506622,-47.28375397,6.86674875,195
3.04702484,-43.94884644,6.59255117,192
0.24467194,-43.59104309,7.06497139,196
-0.19813049,-46.0136734,7.55471462,201
-1.34246338,-29.7140213,5.05277246,180
-2.68991316,-48.3647934,8.42970032,208
-2.96654785,-47.57881317,8.35242123,207
7.08875,-44.01385651,7.43158001,199
1.17657196,-47.07961426,9.15072865,214
-0.71100891,-46.1096817,9.31801456,215
-1.00553406,-45.65615234,9.28322739,215
-2.11640442,-46.02854309,9.57788891,218
-2.56918562,-48.34915314,10.14040131,222
-2.7083844,-48.0605484,10.10924667,222
-2.84442366,-47.62242279,10.04710907,222
6.50778019,-46.37468872,9.69772381,219
4.68784058,-42.69733582,9.1417622,214
4.14210999,-41.59999237,8.97745937,212
2.35877716,-45.46463928,10.24050278,223
2.28238403,-47.21666107,10.67722267,227
1.246091,-44.37029419,10.18935532,223
5.61029541,-45.50102386,11.322658,232
5.43480408,-45.3463913,11.31101936,232
5.29826843,-45.52032623,11.38380951,233
2.96970093,-43.29216156,11.19073814,231
1.24208557,-45.11255035,12.0287661,238
6.89219391,-34.5345932,-0.54423445,132
-0.47159088,-43.96962128,1.13615746,146
-0.76426208,-43.95449982,1.19078011,147
-0.79368103,-31.97624359,0.91482634,145
7.23378479,-35.6268631,0.66180557,143
7.09446442,-39.53878174,0.92489332,145
6.07273685,-39.91745148,1.15072197,147
4.73488342,-34.85511169,1.11306137,146
5.04848969,-40.32233582,1.3768782,149
3.47398865,-46.28147278,2.03724545,154
0.6344577,-59.08042357,3.3377046,165
0.43312561,-58.44845793,3.33858866,165
-1.1909436,-53.6519948,3.36194891,165
-1.52047241,-52.71132097,3.36822218,165
-3.26448286,-47.62913666,3.39260668,165
-2.3353833,-30.02824554,2.17832059,155
